pattern_id,class_id,count,delivery_offset_s
P000079,C028,1,935.0708250633121
P000080,C036,1,1081.2987980030025
P000081,C035,1,1081.2987980030025
P000082,C034,1,1081.2987980030025
P000083,C033,1,1081.2987980030025
P000084,C033,1,1141.2987980030025
P000084,C036,1,1141.2987980030025
P000085,C033,1,1141.2987980030025
P000085,C035,1,1141.2987980030025
P000086,C032,1,1081.2987980030025
P000087,C032,1,1141.2987980030025
P000087,C036,1,1141.2987980030025
P000088,C032,1,1141.2987980030025
P000088,C035,1,1141.2987980030025
P000089,C032,1,1141.2987980030025
P000089,C034,1,1141.2987980030025
P000090,C032,1,1141.2987980030025
P000090,C033,1,1141.2987980030025
P000091,C041,1,1308.3286756404718
P000092,C040,1,1308.3286756404718
P000093,C039,1,1308.3286756404718
P000094,C038,1,1308.3286756404718
P000095,C038,1,1368.3286756404718
P000095,C041,1,1368.3286756404718
P000096,C038,1,1368.3286756404718
P000096,C040,1,1368.3286756404718
P000097,C037,1,1308.3286756404718
P000098,C037,1,1368.3286756404718
P000098,C041,1,1368.3286756404718
P000099,C037,1,1368.3286756404718
P000099,C040,1,1368.3286756404718
P000100,C037,1,1368.3286756404718
P000100,C039,1,1368.3286756404718
P000101,C037,1,1368.3286756404718
P000101,C038,1,1368.3286756404718
P000102,C044,1,1067.3572431194746
P000103,C043,1,1067.3572431194746
P000104,C043,1,1127.3572431194746
P000104,C044,1,1127.3572431194746
P000105,C042,1,1067.3572431194746
P000106,C042,1,1127.3572431194746
P000106,C044,1,1127.3572431194746
P000107,C042,1,1127.3572431194746
P000107,C043,1,1127.3572431194746
P000108,C047,1,1044.4629012533037
P000109,C046,1,1044.4629012533037
P000110,C046,1,1104.4629012533037
P000110,C047,1,1104.4629012533037
P000111,C045,1,1044.4629012533037
P000112,C045,1,1104.4629012533037
P000112,C047,1,1104.4629012533037
P000113,C045,1,1104.4629012533037
P000113,C046,1,1104.4629012533037
P000114,C050,1,833.9542734339071
P000115,C049,1,833.9542734339071
P000116,C049,1,893.9542734339071
P000116,C050,1,893.9542734339071
P000117,C048,1,833.9542734339071
P000118,C048,1,893.9542734339071
P000118,C050,1,893.9542734339071
P000119,C048,1,893.9542734339071
P000119,C049,1,893.9542734339071
P000120,C053,1,1275.1373414175519
P000121,C052,1,1275.1373414175519
P000122,C052,1,1335.1373414175519
P000122,C053,1,1335.1373414175519
P000123,C051,1,1275.1373414175519
P000124,C051,1,1335.1373414175519
P000124,C053,1,1335.1373414175519
P000125,C051,1,1335.1373414175519
P000125,C052,1,1335.1373414175519
P000126,C056,1,1023.5450292856591
P000127,C055,1,1023.5450292856591
P000128,C055,1,1083.545029285659
P000128,C056,1,1083.545029285659
P000129,C054,1,1023.5450292856591
P000130,C054,1,1083.545029285659
P000130,C056,1,1083.545029285659
P000131,C054,1,1083.545029285659
P000131,C055,1,1083.545029285659
P000132,C059,1,1212.0372193517871
P000133,C058,1,1212.0372193517871
P000134,C058,1,1272.0372193517871
P000134,C059,1,1272.0372193517871
P000135,C057,1,1212.0372193517871
P000136,C057,1,1272.0372193517871
P000136,C059,1,1272.0372193517871
P000137,C057,1,1272.0372193517871
P000137,C058,1,1272.0372193517871
P000138,C062,1,1198.54492348841
P000139,C061,1,1198.54492348841
P000140,C061,1,1258.54492348841
P000140,C062,1,1258.54492348841
P000141,C060,1,1198.54492348841
P000142,C060,1,1258.54492348841
P000142,C062,1,1258.54492348841
P000143,C060,1,1258.54492348841
P000143,C061,1,1258.54492348841
P000144,C006,1,879.3587719896758
P000144,C008,1,1501.5976090067682
P000145,C006,1,1880.4109774198039
P000145,C008,1,1255.8054737360449
P000146,C006,1,879.3587719896758
P000146,C007,1,1501.5976090067682
P000147,C006,1,1880.4109774198039
P000147,C007,1,1255.8054737360449
P000148,C005,1,879.3587719896758
P000148,C008,1,1501.5976090067682
P000149,C005,1,1880.4109774198039
P000149,C008,1,1255.8054737360449
P000150,C005,1,879.3587719896758
P000150,C007,1,1501.5976090067682
P000151,C005,1,1880.4109774198039
P000151,C007,1,1255.8054737360449
P000152,C004,1,879.3587719896758
P000152,C007,1,1501.5976090067682
P000153,C004,1,1880.4109774198039
P000153,C007,1,1255.8054737360449
P000154,C003,1,879.3587719896758
P000154,C011,1,1501.5976090067682
P000155,C003,1,1880.4109774198039
P000155,C011,1,1255.8054737360449
P000156,C003,1,879.3587719896758
P000156,C010,1,1501.5976090067682
P000157,C003,1,1880.4109774198039
P000157,C010,1,1255.8054737360449
P000158,C003,1,879.3587719896758
P000158,C008,1,1501.5976090067682
P000159,C003,1,1880.4109774198039
P000159,C008,1,1255.8054737360449
P000160,C003,1,879.3587719896758
P000160,C007,1,1501.5976090067682
P000161,C003,1,1880.4109774198039
P000161,C007,1,1255.8054737360449
P000162,C002,1,879.3587719896758
P000162,C011,1,1501.5976090067682
P000163,C002,1,1880.4109774198039
P000163,C011,1,1255.8054737360449
P000164,C002,1,879.3587719896758
P000164,C010,1,1501.5976090067682
P000165,C002,1,1880.4109774198039
P000165,C010,1,1255.8054737360449
P000166,C002,1,879.3587719896758
P000166,C009,1,1501.5976090067682
P000167,C002,1,1880.4109774198039
P000167,C009,1,1255.8054737360449
