task_id,uav_type,n_stops,visit_order,duration_s,energy_kWh,latest_start_s,direct_time_s,outage_time_s,outage_ratio,gap_count,max_gap_s,min_margin_db,needs_relay
R000030,A,1,S003,2262.2769928282455,2.887245701141598,5790.9,1333.431829747456,928.8451630807893,0.4105797680944317,1,928.8451630807893,-5.288334514260441,1
R000031,A,1,S003,2262.2769928282455,2.981173459179203,5790.9,1333.431829747456,928.8451630807893,0.4105797680944317,1,928.8451630807893,-5.288334514260441,1
R000032,A,1,S004,2123.959400972985,2.9448489638471385,,1383.866367153159,740.0930338198259,0.3484497083516708,1,740.0930338198259,-5.839925593266557,1
R000033,A,1,S004,2123.959400972985,2.9656942536784365,,1383.866367153159,740.0930338198259,0.3484497083516708,1,740.0930338198259,-5.839925593266557,1
R000034,A,1,S004,2123.959400972985,3.0470091478074686,5886.4,1383.866367153159,740.0930338198259,0.3484497083516708,1,740.0930338198259,-5.839925593266557,1
R000035,A,1,S004,2183.959400972985,3.203366220355213,5826.4,1413.866367153159,770.0930338198259,0.3526132552998643,1,770.0930338198259,-5.839925593266557,1
R000036,A,1,S004,2123.959400972985,2.919891024803157,5886.4,1383.866367153159,740.0930338198259,0.3484497083516708,1,740.0930338198259,-5.839925593266557,1
R000037,A,1,S004,2183.959400972985,2.977295648239486,5826.4,1413.866367153159,770.0930338198259,0.3526132552998643,1,770.0930338198259,-5.839925593266557,1
R000038,A,1,S004,2183.959400972985,3.002823048333129,5826.4,1413.866367153159,770.0930338198259,0.3526132552998643,1,770.0930338198259,-5.839925593266557,1
R000039,A,1,S004,2183.959400972985,3.0986471482564,5826.4,1413.866367153159,770.0930338198259,0.3526132552998643,1,770.0930338198259,-5.839925593266557,1
R000040,A,1,S005,1635.7581046684645,2.023678708754835,,1247.555719000899,388.20238566756564,0.23732261179671582,1,388.20238566756564,-2.547971547580076,1
R000041,A,1,S005,1635.7581046684645,2.038049977348116,,1247.555719000899,388.20238566756564,0.23732261179671582,1,388.20238566756564,-2.547971547580076,1
R000042,A,1,S005,1635.7581046684645,2.094018302339303,9729.4,1247.555719000899,388.20238566756564,0.23732261179671582,1,388.20238566756564,-2.547971547580076,1
R000043,A,1,S005,1695.7581046684645,2.2014564651560833,9669.4,1277.555719000899,418.20238566756564,0.24661676952405182,1,418.20238566756564,-2.547971547580076,1
R000044,A,1,S005,1635.7581046684645,2.0064410909483095,9729.4,1247.555719000899,388.20238566756564,0.23732261179671582,1,388.20238566756564,-2.547971547580076,1
R000045,A,1,S005,1695.7581046684645,2.0460424831546757,9669.4,1277.555719000899,418.20238566756564,0.24661676952405182,1,418.20238566756564,-2.547971547580076,1
R000046,A,1,S005,1695.7581046684645,2.0636187252482485,9669.4,1277.555719000899,418.20238566756564,0.24661676952405182,1,418.20238566756564,-2.547971547580076,1
R000047,A,1,S005,1695.7581046684645,2.1295188155066476,9669.4,1277.555719000899,418.20238566756564,0.24661676952405182,1,418.20238566756564,-2.547971547580076,1
R000048,A,1,S006,1252.6149834599576,1.2411219044028345,,1252.6149834599576,0,0.0,0,0.0,1.8739996127073368,0
R000049,A,1,S006,1252.6149834599576,1.250646292293427,,1252.6149834599576,0,0.0,0,0.0,1.8739996127073368,0
R000050,A,1,S006,1252.6149834599576,1.2869317340707995,2724.9,1252.6149834599576,0,0.0,0,0.0,1.8739996127073368,0
R000051,A,1,S006,1312.6149834599576,1.354999454410149,2664.9,1312.6149834599576,0,0.0,0,0.0,1.8739996127073368,0
R000052,A,1,S006,1252.6149834599576,1.2294267479818388,2724.9,1252.6149834599576,0,0.0,0,0.0,1.8739996127073368,0
R000053,A,1,S006,1312.6149834599576,1.2558925819390496,2664.9,1312.6149834599576,0,0.0,0,0.0,1.8739996127073368,0
R000054,A,1,S006,1312.6149834599576,1.2673398458663825,2664.9,1312.6149834599576,0,0.0,0,0.0,1.8739996127073368,0
R000055,A,1,S006,1312.6149834599576,1.3095840119305917,2664.9,1312.6149834599576,0,0.0,0,0.0,1.8739996127073368,0
R000056,A,1,S007,1667.3175960060048,1.8056692577182183,,1269.6187980030022,397.6987980030025,0.23852612061173867,1,397.6987980030025,-1.2114589415920705,1
R000057,A,1,S007,1667.3175960060048,1.8195808525494075,,1269.6187980030022,397.6987980030025,0.23852612061173867,1,397.6987980030025,-1.2114589415920705,1
R000058,A,1,S007,1667.3175960060048,1.8723077073056285,2518.7,1269.6187980030022,397.6987980030025,0.23852612061173867,1,397.6987980030025,-1.2114589415920705,1
R000059,A,1,S007,1727.3175960060048,1.9706696366234688,2458.7,1299.6187980030022,427.6987980030025,0.24760866154084823,1,427.6987980030025,-1.2114589415920705,1
R000060,A,1,S007,1667.3175960060048,1.7884953435658324,2518.7,1269.6187980030022,397.6987980030025,0.23852612061173867,1,397.6987980030025,-1.2114589415920705,1
R000061,A,1,S007,1727.3175960060048,1.827226616519499,2458.7,1299.6187980030022,427.6987980030025,0.24760866154084823,1,427.6987980030025,-1.2114589415920705,1
